,RouteUID,RouteNameZh_tw,SubRouteUID,SubRouteNameZh_tw,Direction,StopUID,StopNameZh_tw,StopBoarding,StopSequence,PositionLat,PositionLon,旅次時段,上車人數,下車人數
10,ILA0011,紅1,ILA001101,紅1,0,ILA302579,烏石港轉運站,0,2,24.868788,121.834961,16,6,0
25,ILA0011,紅1,ILA001101,紅1,0,ILA297125,頭城站,0,5,24.85794,121.82553,16,3,0
65,ILA0011,紅1,ILA001101,紅1,0,ILA297129,二城,0,12,24.83872,121.79295,16,1,0
82,ILA0011,紅1,ILA001101,紅1,0,ILA299052,白石腳,0,15,24.83572,121.78286,16,1,0
85,ILA0011,紅1,ILA001101,紅1,0,ILA299033,玉石村,0,16,24.8338,121.78017,16,1,0
94,ILA0011,紅1,ILA001101,紅1,0,ILA297133,礁溪轉運站,0,17,24.830982,121.777881,16,5,0
106,ILA0011,紅1,ILA001101,紅1,0,ILA297137,礁溪湯圍溝,0,18,24.82877,121.773889,16,4,8
117,ILA0011,紅1,ILA001101,紅1,0,ILA297140,礁溪電池廠,0,19,24.82462,121.77081,16,5,0
174,ILA0011,紅1,ILA001101,紅1,0,ILA303090,蘭陽別院(念佛會),0,36,24.762132,121.753852,16,2,1
198,ILA0011,紅1,ILA001102,紅1,1,ILA297195,幸福轉運站,0,2,24.7519,121.75655,16,5,0
212,ILA0011,紅1,ILA001102,紅1,1,ILA297191,宜蘭中山公園,0,4,24.75447,121.75381,16,1,0
226,ILA0011,紅1,ILA001102,紅1,1,ILA297189,第一銀行,0,5,24.75755,121.75266,16,2,1
240,ILA0011,紅1,ILA001102,紅1,1,ILA303091,蘭陽別院(念佛會),0,7,24.762247,121.754012,16,4,0
248,ILA0011,紅1,ILA001102,紅1,1,ILA297182,新生里,0,9,24.768015,121.756123,16,1,0
290,ILA0011,紅1,ILA001102,紅1,1,ILA297141,礁溪電池廠,0,24,24.82454,121.7709,16,3,3
307,ILA0011,紅1,ILA001102,紅1,1,ILA297133,礁溪轉運站,0,26,24.830982,121.777881,16,6,0
315,ILA0011,紅1,ILA001102,紅1,1,ILA297132,頭城交流道,0,30,24.837169,121.787954,16,1,0
339,ILA0012,紅2,ILA001201,紅2,0,ILA297023,宜蘭轉運站,1,1,24.751763,121.75972,16,10,0
360,ILA0012,紅2,ILA001201,紅2,0,ILA297198,蘭陽女中,0,3,24.74672,121.75498,16,3,0
378,ILA0012,紅2,ILA001201,紅2,0,ILA297217,二結,0,11,24.70344,121.76801,16,1,0
391,ILA0012,紅2,ILA001201,紅2,0,ILA297230,復興路口,0,18,24.682037,121.769646,16,1,0
402,ILA0012,紅2,ILA001201,紅2,0,ILA297081,羅東夜市(中山公園),0,19,24.67661,121.76794,16,8,4
415,ILA0012,紅2,ILA001201,紅2,0,ILA297237,博愛醫院,0,20,24.67261,121.77013,16,1,0
435,ILA0012,紅2,ILA001201,紅2,0,ILA297086,羅東轉運站,0,24,24.67818,121.775704,16,4,0
441,ILA0012,紅2,ILA001201,紅2,0,ILA297251,羅莊社區2站,0,25,24.67275,121.77753,16,3,1
446,ILA0012,紅2,ILA001201,紅2,0,ILA297253,群英路,0,26,24.66528,121.77373,16,1,0
467,ILA0012,紅2,ILA001201,紅2,0,ILA297242,下香和,0,37,24.62726,121.80025,16,1,0
521,ILA0012,紅2,ILA001202,紅2,1,ILA297211,南方澳,1,1,24.580572,121.870334,16,21,0
536,ILA0012,紅2,ILA001202,紅2,1,ILA302879,蘇澳轉運站,0,3,24.595434,121.852642,16,2,4
567,ILA0012,紅2,ILA001202,紅2,1,ILA297221,新城,0,12,24.61551,121.821195,16,1,0
589,ILA0012,紅2,ILA001202,紅2,1,ILA297269,冬山,0,21,24.63491,121.78973,16,1,1
590,ILA0012,紅2,ILA001202,紅2,1,ILA297266,生態綠舟(天照宮),0,22,24.63753,121.78727,16,2,0
609,ILA0012,紅2,ILA001202,紅2,1,ILA297086,羅東轉運站,0,30,24.67818,121.775704,16,4,12
623,ILA0012,紅2,ILA001202,紅2,1,ILA297238,博愛醫院,0,34,24.672959,121.768605,16,1,2
