,RouteUID,RouteNameZh_tw,SubRouteUID,SubRouteNameZh_tw,Direction,StopUID,StopNameZh_tw,StopBoarding,StopSequence,PositionLat,PositionLon,旅次時段,上車人數,下車人數
15,ILA0011,紅1,ILA001101,紅1,0,ILA297125,頭城站,0,5,24.85794,121.82553,6,1,0
29,ILA0011,紅1,ILA001101,紅1,0,ILA297127,青雲路,0,6,24.85548,121.82345,6,2,0
43,ILA0011,紅1,ILA001101,紅1,0,ILA299023,實踐農村,0,8,24.84738,121.81239,6,1,0
48,ILA0011,紅1,ILA001101,紅1,0,ILA299025,頂埔,0,9,24.84566,121.80809,6,1,0
74,ILA0011,紅1,ILA001101,紅1,0,ILA299052,白石腳,0,15,24.83572,121.78286,6,2,0
86,ILA0011,紅1,ILA001101,紅1,0,ILA297133,礁溪轉運站,0,17,24.830982,121.777881,6,2,0
97,ILA0011,紅1,ILA001101,紅1,0,ILA297137,礁溪湯圍溝,0,18,24.82877,121.773889,6,1,2
109,ILA0011,紅1,ILA001101,紅1,0,ILA297140,礁溪電池廠,0,19,24.82462,121.77081,6,2,0
122,ILA0011,紅1,ILA001101,紅1,0,ILA297142,礁溪國小,0,20,24.821,121.76945,6,1,0
131,ILA0011,紅1,ILA001101,紅1,0,ILA297144,協天廟,0,21,24.818766,121.768666,6,2,1
149,ILA0011,紅1,ILA001101,紅1,0,ILA297154,番割田,0,25,24.80182,121.76482,6,1,0
153,ILA0011,紅1,ILA001101,紅1,0,ILA297156,白鵝村,0,26,24.79907,121.76418,6,3,0
157,ILA0011,紅1,ILA001101,紅1,0,ILA297162,四城,0,29,24.787387,121.761526,6,5,0
166,ILA0011,紅1,ILA001101,紅1,0,ILA297181,新生里,0,34,24.768283,121.756125,6,1,0
178,ILA0011,紅1,ILA001101,紅1,0,ILA297190,宜蘭中山公園,0,39,24.75433,121.75378,6,1,5
188,ILA0011,紅1,ILA001102,紅1,1,ILA297195,幸福轉運站,0,2,24.7519,121.75655,6,4,0
216,ILA0011,紅1,ILA001102,紅1,1,ILA297189,第一銀行,0,5,24.75755,121.75266,6,1,0
231,ILA0011,紅1,ILA001102,紅1,1,ILA297187,北門,0,6,24.759172,121.753009,6,1,0
250,ILA0011,紅1,ILA001102,紅1,1,ILA297172,吳沙路,0,10,24.77354,121.7579,6,1,0
267,ILA0011,紅1,ILA001102,紅1,1,ILA297157,白鵝村,0,17,24.799125,121.76444,6,1,0
298,ILA0011,紅1,ILA001102,紅1,1,ILA297133,礁溪轉運站,0,26,24.830982,121.777881,6,1,1
329,ILA0012,紅2,ILA001201,紅2,0,ILA297023,宜蘭轉運站,1,1,24.751763,121.75972,6,1,0
367,ILA0012,紅2,ILA001201,紅2,0,ILA302581,宜蘭運動公園,0,5,24.74022,121.75877,6,3,0
375,ILA0012,紅2,ILA001201,紅2,0,ILA297214,慈林文教,0,9,24.70918,121.77135,6,1,0
377,ILA0012,紅2,ILA001201,紅2,0,ILA297217,二結,0,11,24.70344,121.76801,6,1,0
383,ILA0012,紅2,ILA001201,紅2,0,ILA291022,中興國小,0,14,24.69245,121.76979,6,1,0
407,ILA0012,紅2,ILA001201,紅2,0,ILA297237,博愛醫院,0,20,24.67261,121.77013,6,3,2
511,ILA0012,紅2,ILA001202,紅2,1,ILA297211,南方澳,1,1,24.580572,121.870334,6,6,0
527,ILA0012,紅2,ILA001202,紅2,1,ILA302879,蘇澳轉運站,0,3,24.595434,121.852642,6,2,1
548,ILA0012,紅2,ILA001202,紅2,1,ILA297071,聖湖,0,8,24.5965,121.8382,6,1,0
554,ILA0012,紅2,ILA001202,紅2,1,ILA297072,蘇澳國中,0,9,24.59717,121.83517,6,1,0
564,ILA0012,紅2,ILA001202,紅2,1,ILA297221,新城,0,12,24.61551,121.821195,6,1,0
625,ILA0012,紅2,ILA001202,紅2,1,ILA297083,羅東夜市(中山公園),0,35,24.67649,121.76803,6,5,3
640,ILA0012,紅2,ILA001202,紅2,1,ILA297232,復興路口,0,36,24.68199,121.76979,6,2,0
666,ILA0012,紅2,ILA001202,紅2,1,ILA297209,城仔,0,47,24.727036,121.767091,6,1,0
670,ILA0012,紅2,ILA001202,紅2,1,ILA302583,宜蘭縣政府,0,48,24.73132,121.76482,6,1,0
936,ILA0028,綠28,ILA002801,綠28,0,ILA308289,內埤海邊,0,12,24.578274,121.870018,6,5,2
961,ILA0028,綠28,ILA002801,綠28,0,ILA308292,江夏路,0,15,24.58206,121.8652,6,3,2
978,ILA0028,綠28,ILA002801,綠28,0,ILA302880,蘇澳轉運站,0,19,24.595434,121.852642,6,2,0
1003,ILA0028,綠28,ILA002801,綠28,0,ILA297071,聖湖,0,23,24.5965,121.8382,6,1,0
1012,ILA0028,綠28,ILA002801,綠28,0,ILA297072,蘇澳國中,0,24,24.59717,121.83517,6,1,8
1023,ILA0028,綠28,ILA002801,綠28,0,ILA297073,軍人忠烈祠,0,25,24.60399,121.8328,6,14,0
1747,ILA0312,1743,ILA031202,1743,1,ILA115750,松羅,1,1,24.65562,121.58076,6,1,0
1749,ILA0312,1743,ILA031202,1743,1,ILA115751,玉蘭,0,2,24.66512,121.59351,6,1,0
1834,ILA0312,1743,ILA0312A2,1743A,1,ILA115750,松羅,1,1,24.65562,121.58076,6,2,0
1835,ILA0312,1743,ILA0312A2,1743A,1,ILA115751,玉蘭,0,2,24.66512,121.59351,6,3,0
