,RouteUID,RouteNameZh_tw,SubRouteUID,SubRouteNameZh_tw,Direction,StopUID,StopNameZh_tw,StopBoarding,StopSequence,PositionLat,PositionLon,旅次時段,上車人數,下車人數
6,ILA0011,紅1,ILA001101,紅1,0,ILA302579,烏石港轉運站,0,2,24.868788,121.834961,12,2,0
21,ILA0011,紅1,ILA001101,紅1,0,ILA297125,頭城站,0,5,24.85794,121.82553,12,8,1
33,ILA0011,紅1,ILA001101,紅1,0,ILA297127,青雲路,0,6,24.85548,121.82345,12,1,0
63,ILA0011,紅1,ILA001101,紅1,0,ILA297129,二城,0,12,24.83872,121.79295,12,1,0
79,ILA0011,紅1,ILA001101,紅1,0,ILA299052,白石腳,0,15,24.83572,121.78286,12,2,1
102,ILA0011,紅1,ILA001101,紅1,0,ILA297137,礁溪湯圍溝,0,18,24.82877,121.773889,12,6,5
113,ILA0011,紅1,ILA001101,紅1,0,ILA297140,礁溪電池廠,0,19,24.82462,121.77081,12,4,0
127,ILA0011,紅1,ILA001101,紅1,0,ILA297142,礁溪國小,0,20,24.821,121.76945,12,3,2
136,ILA0011,紅1,ILA001101,紅1,0,ILA297144,協天廟,0,21,24.818766,121.768666,12,1,0
147,ILA0011,紅1,ILA001101,紅1,0,ILA297148,十六結,0,23,24.80964,121.76701,12,1,0
161,ILA0011,紅1,ILA001101,紅1,0,ILA297164,一結,0,30,24.78267,121.76041,12,3,0
164,ILA0011,紅1,ILA001101,紅1,0,ILA297169,台富,0,32,24.7766,121.75861,12,1,0
180,ILA0011,紅1,ILA001101,紅1,0,ILA297190,宜蘭中山公園,0,39,24.75433,121.75378,12,1,3
194,ILA0011,紅1,ILA001102,紅1,1,ILA297195,幸福轉運站,0,2,24.7519,121.75655,12,9,0
208,ILA0011,紅1,ILA001102,紅1,1,ILA297191,宜蘭中山公園,0,4,24.75447,121.75381,12,11,0
222,ILA0011,紅1,ILA001102,紅1,1,ILA297189,第一銀行,0,5,24.75755,121.75266,12,9,0
238,ILA0011,紅1,ILA001102,紅1,1,ILA303091,蘭陽別院(念佛會),0,7,24.762247,121.754012,12,3,0
243,ILA0011,紅1,ILA001102,紅1,1,ILA299054,河濱公園,0,8,24.764166,121.754738,12,1,0
247,ILA0011,紅1,ILA001102,紅1,1,ILA297182,新生里,0,9,24.768015,121.756123,12,1,0
252,ILA0011,紅1,ILA001102,紅1,1,ILA297172,吳沙路,0,10,24.77354,121.7579,12,2,0
280,ILA0011,紅1,ILA001102,紅1,1,ILA297145,協天廟,0,22,24.818813,121.76881,12,2,4
286,ILA0011,紅1,ILA001102,紅1,1,ILA297143,礁溪國小,0,23,24.82107,121.76965,12,4,2
289,ILA0011,紅1,ILA001102,紅1,1,ILA297141,礁溪電池廠,0,24,24.82454,121.7709,12,2,10
304,ILA0011,紅1,ILA001102,紅1,1,ILA297133,礁溪轉運站,0,26,24.830982,121.777881,12,3,3
316,ILA0011,紅1,ILA001102,紅1,1,ILA297272,二城,0,31,24.83857,121.79331,12,1,0
324,ILA0011,紅1,ILA001102,紅1,1,ILA297126,頭城站,0,38,24.85858,121.82603,12,3,3
335,ILA0012,紅2,ILA001201,紅2,0,ILA297023,宜蘭轉運站,1,1,24.751763,121.75972,12,4,0
348,ILA0012,紅2,ILA001201,紅2,0,ILA297196,綠九市場,0,2,24.74912,121.75524,12,1,0
357,ILA0012,紅2,ILA001201,紅2,0,ILA297198,蘭陽女中,0,3,24.74672,121.75498,12,1,0
371,ILA0012,紅2,ILA001201,紅2,0,ILA302584,宜蘭縣政府,0,6,24.730883,121.764751,12,1,0
382,ILA0012,紅2,ILA001201,紅2,0,ILA302586,中興文創(四結),0,13,24.694536,121.769412,12,1,0
389,ILA0012,紅2,ILA001201,紅2,0,ILA297228,竹林,0,17,24.68488,121.77061,12,1,1
398,ILA0012,紅2,ILA001201,紅2,0,ILA297081,羅東夜市(中山公園),0,19,24.67661,121.76794,12,4,3
432,ILA0012,紅2,ILA001201,紅2,0,ILA297086,羅東轉運站,0,24,24.67818,121.775704,12,8,1
466,ILA0012,紅2,ILA001201,紅2,0,ILA297246,香和,0,36,24.63033,121.79736,12,1,1
476,ILA0012,紅2,ILA001201,紅2,0,ILA297053,蘇澳新站,0,44,24.60775,121.8271,12,3,0
500,ILA0012,紅2,ILA001201,紅2,0,ILA302879,蘇澳轉運站,0,53,24.595434,121.852642,12,2,1
506,ILA0012,紅2,ILA001201,紅2,0,ILA297059,南方澳(港區),0,54,24.585293,121.864485,12,1,0
517,ILA0012,紅2,ILA001202,紅2,1,ILA297211,南方澳,1,1,24.580572,121.870334,12,10,0
532,ILA0012,紅2,ILA001202,紅2,1,ILA302879,蘇澳轉運站,0,3,24.595434,121.852642,12,7,2
541,ILA0012,紅2,ILA001202,紅2,1,ILA297070,加油站,0,5,24.59599,121.84788,12,1,0
545,ILA0012,紅2,ILA001202,紅2,1,ILA290521,湧泉,0,6,24.59578,121.84441,12,2,1
559,ILA0012,紅2,ILA001202,紅2,1,ILA297072,蘇澳國中,0,9,24.59717,121.83517,12,1,2
562,ILA0012,紅2,ILA001202,紅2,1,ILA297073,軍人忠烈祠,0,10,24.60399,121.8328,12,1,0
