,RouteUID,RouteNameZh_tw,SubRouteUID,SubRouteNameZh_tw,Direction,StopUID,StopNameZh_tw,StopBoarding,StopSequence,PositionLat,PositionLon,旅次時段,上車人數,下車人數
18,ILA0011,紅1,ILA001101,紅1,0,ILA297125,頭城站,0,5,24.85794,121.82553,9,4,0
30,ILA0011,紅1,ILA001101,紅1,0,ILA297127,青雲路,0,6,24.85548,121.82345,9,4,0
45,ILA0011,紅1,ILA001101,紅1,0,ILA299023,實踐農村,0,8,24.84738,121.81239,9,1,0
51,ILA0011,紅1,ILA001101,紅1,0,ILA299025,頂埔,0,9,24.84566,121.80809,9,3,0
55,ILA0011,紅1,ILA001101,紅1,0,ILA299027,二城國小,0,10,24.8442,121.80525,9,1,0
59,ILA0011,紅1,ILA001101,紅1,0,ILA299029,中崙,0,11,24.841843,121.80191,9,1,0
72,ILA0011,紅1,ILA001101,紅1,0,ILA299031,白雲路,0,14,24.837055,121.786853,9,1,0
77,ILA0011,紅1,ILA001101,紅1,0,ILA299052,白石腳,0,15,24.83572,121.78286,9,1,1
88,ILA0011,紅1,ILA001101,紅1,0,ILA297133,礁溪轉運站,0,17,24.830982,121.777881,9,13,5
99,ILA0011,紅1,ILA001101,紅1,0,ILA297137,礁溪湯圍溝,0,18,24.82877,121.773889,9,2,0
110,ILA0011,紅1,ILA001101,紅1,0,ILA297140,礁溪電池廠,0,19,24.82462,121.77081,9,9,0
125,ILA0011,紅1,ILA001101,紅1,0,ILA297142,礁溪國小,0,20,24.821,121.76945,9,5,2
133,ILA0011,紅1,ILA001101,紅1,0,ILA297144,協天廟,0,21,24.818766,121.768666,9,3,1
148,ILA0011,紅1,ILA001101,紅1,0,ILA297152,三民村,0,24,24.80507,121.76549,9,1,0
168,ILA0011,紅1,ILA001101,紅1,0,ILA297181,新生里,0,34,24.768283,121.756125,9,1,2
191,ILA0011,紅1,ILA001102,紅1,1,ILA297195,幸福轉運站,0,2,24.7519,121.75655,9,6,0
205,ILA0011,紅1,ILA001102,紅1,1,ILA297191,宜蘭中山公園,0,4,24.75447,121.75381,9,13,0
219,ILA0011,紅1,ILA001102,紅1,1,ILA297189,第一銀行,0,5,24.75755,121.75266,9,4,0
236,ILA0011,紅1,ILA001102,紅1,1,ILA303091,蘭陽別院(念佛會),0,7,24.762247,121.754012,9,2,0
258,ILA0011,紅1,ILA001102,紅1,1,ILA297163,四城,0,14,24.78716,121.76176,9,3,3
277,ILA0011,紅1,ILA001102,紅1,1,ILA297149,十六結,0,20,24.809559,121.767233,9,3,1
284,ILA0011,紅1,ILA001102,紅1,1,ILA297143,礁溪國小,0,23,24.82107,121.76965,9,1,6
292,ILA0011,紅1,ILA001102,紅1,1,ILA297136,礁溪湯圍溝,0,25,24.82839,121.77333,9,2,0
301,ILA0011,紅1,ILA001102,紅1,1,ILA297133,礁溪轉運站,0,26,24.830982,121.777881,9,3,3
321,ILA0011,紅1,ILA001102,紅1,1,ILA299022,實踐農村,0,35,24.84721,121.81254,9,1,0
332,ILA0012,紅2,ILA001201,紅2,0,ILA297023,宜蘭轉運站,1,1,24.751763,121.75972,9,4,0
345,ILA0012,紅2,ILA001201,紅2,0,ILA297196,綠九市場,0,2,24.74912,121.75524,9,4,0
