,RouteUID,RouteNameZh_tw,SubRouteUID,SubRouteNameZh_tw,Direction,StopUID,StopNameZh_tw,StopBoarding,StopSequence,PositionLat,PositionLon,旅次時段,上車人數,下車人數
4,ILA0011,紅1,ILA001101,紅1,0,ILA307526,外澳,1,1,24.870935,121.839346,17,5,0
11,ILA0011,紅1,ILA001101,紅1,0,ILA302579,烏石港轉運站,0,2,24.868788,121.834961,17,6,0
26,ILA0011,紅1,ILA001101,紅1,0,ILA297125,頭城站,0,5,24.85794,121.82553,17,4,3
35,ILA0011,紅1,ILA001101,紅1,0,ILA297127,青雲路,0,6,24.85548,121.82345,17,1,2
47,ILA0011,紅1,ILA001101,紅1,0,ILA299023,實踐農村,0,8,24.84738,121.81239,17,1,1
66,ILA0011,紅1,ILA001101,紅1,0,ILA297129,二城,0,12,24.83872,121.79295,17,1,0
107,ILA0011,紅1,ILA001101,紅1,0,ILA297137,礁溪湯圍溝,0,18,24.82877,121.773889,17,1,2
118,ILA0011,紅1,ILA001101,紅1,0,ILA297140,礁溪電池廠,0,19,24.82462,121.77081,17,4,0
129,ILA0011,紅1,ILA001101,紅1,0,ILA297142,礁溪國小,0,20,24.821,121.76945,17,2,3
140,ILA0011,紅1,ILA001101,紅1,0,ILA297144,協天廟,0,21,24.818766,121.768666,17,2,0
152,ILA0011,紅1,ILA001101,紅1,0,ILA297154,番割田,0,25,24.80182,121.76482,17,4,0
175,ILA0011,紅1,ILA001101,紅1,0,ILA303090,蘭陽別院(念佛會),0,36,24.762132,121.753852,17,1,1
183,ILA0011,紅1,ILA001101,紅1,0,ILA297190,宜蘭中山公園,0,39,24.75433,121.75378,17,1,6
199,ILA0011,紅1,ILA001102,紅1,1,ILA297195,幸福轉運站,0,2,24.7519,121.75655,17,5,0
213,ILA0011,紅1,ILA001102,紅1,1,ILA297191,宜蘭中山公園,0,4,24.75447,121.75381,17,2,0
227,ILA0011,紅1,ILA001102,紅1,1,ILA297189,第一銀行,0,5,24.75755,121.75266,17,3,0
266,ILA0011,紅1,ILA001102,紅1,1,ILA297159,公埔,0,16,24.79321,121.76293,17,2,0
271,ILA0011,紅1,ILA001102,紅1,1,ILA297157,白鵝村,0,17,24.799125,121.76444,17,1,0
291,ILA0011,紅1,ILA001102,紅1,1,ILA297141,礁溪電池廠,0,24,24.82454,121.7709,17,1,2
340,ILA0012,紅2,ILA001201,紅2,0,ILA297023,宜蘭轉運站,1,1,24.751763,121.75972,17,4,0
361,ILA0012,紅2,ILA001201,紅2,0,ILA297198,蘭陽女中,0,3,24.74672,121.75498,17,4,0
386,ILA0012,紅2,ILA001201,紅2,0,ILA299038,清水橋,0,15,24.68945,121.77026,17,1,0
403,ILA0012,紅2,ILA001201,紅2,0,ILA297081,羅東夜市(中山公園),0,19,24.67661,121.76794,17,7,2
416,ILA0012,紅2,ILA001201,紅2,0,ILA297237,博愛醫院,0,20,24.67261,121.77013,17,1,0
436,ILA0012,紅2,ILA001201,紅2,0,ILA297086,羅東轉運站,0,24,24.67818,121.775704,17,9,1
442,ILA0012,紅2,ILA001201,紅2,0,ILA297251,羅莊社區2站,0,25,24.67275,121.77753,17,8,2
463,ILA0012,紅2,ILA001201,紅2,0,ILA297270,冬山國中,0,35,24.63255,121.79326,17,1,0
491,ILA0012,紅2,ILA001201,紅2,0,ILA290572,蘇澳國小,0,49,24.59596,121.84116,17,2,0
503,ILA0012,紅2,ILA001201,紅2,0,ILA302879,蘇澳轉運站,0,53,24.595434,121.852642,17,3,8
522,ILA0012,紅2,ILA001202,紅2,1,ILA297211,南方澳,1,1,24.580572,121.870334,17,9,0
537,ILA0012,紅2,ILA001202,紅2,1,ILA302879,蘇澳轉運站,0,3,24.595434,121.852642,17,1,2
542,ILA0012,紅2,ILA001202,紅2,1,ILA297070,加油站,0,5,24.59599,121.84788,17,2,0
546,ILA0012,紅2,ILA001202,紅2,1,ILA290521,湧泉,0,6,24.59578,121.84441,17,1,0
547,ILA0012,紅2,ILA001202,紅2,1,ILA290573,蘇澳國小,0,7,24.59624,121.84067,17,8,0
569,ILA0012,紅2,ILA001202,紅2,1,ILA297231,武荖坑,0,14,24.61503,121.81387,17,1,0
584,ILA0012,紅2,ILA001202,紅2,1,ILA297247,香和,0,19,24.63006,121.79813,17,1,0
610,ILA0012,紅2,ILA001202,紅2,1,ILA297086,羅東轉運站,0,30,24.67818,121.775704,17,3,5
