,RouteUID,RouteNameZh_tw,SubRouteUID,SubRouteNameZh_tw,Direction,StopUID,StopNameZh_tw,StopBoarding,StopSequence,PositionLat,PositionLon,旅次時段,上車人數,下車人數
28,ILA0011,紅1,ILA001101,紅1,0,ILA297125,頭城站,0,5,24.85794,121.82553,20,1,0
37,ILA0011,紅1,ILA001101,紅1,0,ILA297127,青雲路,0,6,24.85548,121.82345,20,2,0
96,ILA0011,紅1,ILA001101,紅1,0,ILA297133,礁溪轉運站,0,17,24.830982,121.777881,20,4,0
121,ILA0011,紅1,ILA001101,紅1,0,ILA297140,礁溪電池廠,0,19,24.82462,121.77081,20,1,0
142,ILA0011,紅1,ILA001101,紅1,0,ILA297144,協天廟,0,21,24.818766,121.768666,20,2,0
230,ILA0011,紅1,ILA001102,紅1,1,ILA297189,第一銀行,0,5,24.75755,121.75266,20,1,0
287,ILA0011,紅1,ILA001102,紅1,1,ILA297143,礁溪國小,0,23,24.82107,121.76965,20,1,0
309,ILA0011,紅1,ILA001102,紅1,1,ILA297133,礁溪轉運站,0,26,24.830982,121.777881,20,4,0
353,ILA0012,紅2,ILA001201,紅2,0,ILA297196,綠九市場,0,2,24.74912,121.75524,20,1,0
364,ILA0012,紅2,ILA001201,紅2,0,ILA297198,蘭陽女中,0,3,24.74672,121.75498,20,5,0
381,ILA0012,紅2,ILA001201,紅2,0,ILA297222,石油公司,0,12,24.69815,121.76881,20,1,0
392,ILA0012,紅2,ILA001201,紅2,0,ILA297230,復興路口,0,18,24.682037,121.769646,20,1,0
406,ILA0012,紅2,ILA001201,紅2,0,ILA297081,羅東夜市(中山公園),0,19,24.67661,121.76794,20,5,4
422,ILA0012,紅2,ILA001201,紅2,0,ILA297241,聖母醫院,0,21,24.67068,121.77093,20,1,0
439,ILA0012,紅2,ILA001201,紅2,0,ILA297086,羅東轉運站,0,24,24.67818,121.775704,20,3,0
464,ILA0012,紅2,ILA001201,紅2,0,ILA297270,冬山國中,0,35,24.63255,121.79326,20,2,1
479,ILA0012,紅2,ILA001201,紅2,0,ILA297053,蘇澳新站,0,44,24.60775,121.8271,20,1,0
507,ILA0012,紅2,ILA001201,紅2,0,ILA297059,南方澳(港區),0,54,24.585293,121.864485,20,1,0
525,ILA0012,紅2,ILA001202,紅2,1,ILA297211,南方澳,1,1,24.580572,121.870334,20,3,0
639,ILA0012,紅2,ILA001202,紅2,1,ILA297083,羅東夜市(中山公園),0,35,24.67649,121.76803,20,3,0
1098,ILA0112,112,ILA011201,112,0,ILA296014,礁溪轉運站,1,1,24.830918,121.777907,20,46,0
1112,ILA0112,112,ILA011201,112,0,ILA296887,礁溪湯圍溝,0,2,24.828817,121.774117,20,4,0
1124,ILA0112,112,ILA011201,112,0,ILA297138,湯圍溝,0,3,24.826746,121.771651,20,8,6
1135,ILA0112,112,ILA011201,112,0,ILA297139,礁溪電池廠,0,4,24.824619,121.770786,20,1,2
1149,ILA0112,112,ILA011201,112,0,ILA296893,礁溪國小,0,5,24.82092,121.76938,20,1,7
1164,ILA0112,112,ILA011201,112,0,ILA296901,協天廟,0,6,24.818749,121.768591,20,2,7
1178,ILA0112,112,ILA011201,112,0,ILA296902,大忠路,0,8,24.82305,121.76527,20,3,27
1193,ILA0112,112,ILA011201,112,0,ILA291106,仁愛路,0,10,24.82527192,121.7677417,20,3,2
1206,ILA0112,112,ILA011201,112,0,ILA291092,湯圍溝(仁愛路),0,11,24.827621,121.770629,20,2,0
1226,ILA0112,112,ILA011201,112,0,ILA291110,礁溪火車站,0,13,24.8272,121.775117,20,4,5
3513,ILA0345,1794,ILA034502,1794,1,ILA235245,頂大義,0,18,24.68513,121.70319,20,1,0
3524,ILA0345,1794,ILA034502,1794,1,ILA235251,大洲,0,24,24.69297,121.72908,20,1,0
3849,ILA0345,1794,ILA0345A2,1794A,1,ILA235245,頂大義,0,21,24.68513,121.70319,20,1,0
4397,ILA0348,1797,ILA034802,1797,1,ILA235001,龍德里,0,15,24.64444,121.82985,20,1,0
4404,ILA0348,1797,ILA034802,1797,1,ILA235002,區界,0,16,24.64763,121.82855,20,2,0
4447,ILA0348,1797,ILA034802,1797,1,ILA235024,五結,0,28,24.684908,121.797482,20,1,0
4460,ILA0348,1797,ILA034802,1797,1,ILA235033,羅東火車站,0,37,24.6778699996102,121.773319954303,20,2,1
5364,ILA0622,1766,ILA062201,1766,0,ILA244760,城仔,0,50,24.72704,121.76711,20,1,0
5375,ILA0622,1766,ILA062201,1766,0,ILA244761,宜蘭縣政府,0,51,24.73132,121.76482,20,2,0
5391,ILA0622,1766,ILA062201,1766,0,ILA244764,蘭陽女中,0,54,24.74586,121.75553,20,1,0
5413,ILA0622,1766,ILA062201,1766,0,ILA303075,幸福轉運站,0,57,24.751682,121.756296,20,4,2
5427,ILA0622,1766,ILA062201,1766,0,ILA303079,宜蘭火車站(光復路),0,58,24.75501,121.75684,20,1,0
5456,ILA0622,1766,ILA062201,1766,0,ILA259431,第一銀行,0,60,24.75755,121.75266,20,2,0
5470,ILA0622,1766,ILA062201,1766,0,ILA222194,北門,0,61,24.759172,121.753009,20,1,0
5483,ILA0622,1766,ILA062201,1766,0,ILA303080,蘭陽別院(念佛會),0,62,24.762247,121.754012,20,3,0
5585,ILA0622,1766,ILA062201,1766,0,ILA302784,礁溪轉運站,0,81,24.82999,121.7775,20,1,2
5589,ILA0622,1766,ILA062201,1766,0,ILA116556,白雲路,0,84,24.83669,121.78646,20,1,0
5923,ILA0622,1766,ILA062202,1766,1,ILA300400,宜蘭轉運站,0,41,24.751,121.75948,20,2,0
5936,ILA0622,1766,ILA062202,1766,1,ILA115943,綠九市場,0,42,24.74912,121.75524,20,1,0
5950,ILA0622,1766,ILA062202,1766,1,ILA244319,蘭陽女中,0,43,24.74672,121.75498,20,29,0
5962,ILA0622,1766,ILA062202,1766,1,ILA244417,宜蘭運動公園,0,45,24.74022,121.75877,20,2,0
6023,ILA0622,1766,ILA062202,1766,1,ILA244770,復興路口,0,58,24.682037,121.769646,20,2,2
6037,ILA0622,1766,ILA062202,1766,1,ILA302787,羅東夜市(中山公園),0,59,24.67661,121.76794,20,17,8
6049,ILA0622,1766,ILA062202,1766,1,ILA244683,博愛醫院,0,60,24.67261,121.77013,20,5,4
6079,ILA0622,1766,ILA062202,1766,1,ILA307864,羅東轉運站,0,64,24.67818,121.775704,20,10,0
6167,ILA0622,1766,ILA062202,1766,1,ILA244842,湧泉,0,90,24.5956,121.844518,20,2,3
6494,ILA0624,1792,ILA062402,1792,1,ILA235084,田心仔,0,18,24.66745,121.67975,20,1,0
6500,ILA0624,1792,ILA062402,1792,1,ILA241571,大坑,0,19,24.66739,121.68238,20,1,0
6517,ILA0624,1792,ILA062402,1792,1,ILA235087,福壽站,0,22,24.66731,121.69514,20,1,0
6529,ILA0624,1792,ILA062402,1792,1,ILA116028,大埔,0,23,24.66778,121.70213,20,4,0
6580,ILA0624,1792,ILA062402,1792,1,ILA116030,廣興,0,31,24.67017,121.750194,20,9,0
6602,ILA0624,1792,ILA062402,1792,1,ILA280573,羅東夜市(中山公園),0,36,24.67644,121.76807,20,3,2
6604,ILA0624,1792,ILA062402,1792,1,ILA235032,電信局,0,37,24.6783099995982,121.770809954348,20,1,1
6618,ILA0624,1792,ILA062401,1792,0,ILA307864,羅東轉運站,1,1,24.67818,121.775704,20,19,0
6632,ILA0624,1792,ILA062401,1792,0,ILA235388,羅東火車站,0,2,24.6780925341575,121.773328717681,20,22,0
6659,ILA0624,1792,ILA062401,1792,0,ILA115944,羅東夜市(中山公園),0,4,24.67661,121.76794,20,30,0
6677,ILA0624,1792,ILA062401,1792,0,ILA244468,維揚路,0,6,24.672329,121.761932,20,2,0
6698,ILA0624,1792,ILA062401,1792,0,ILA244469,廣興,0,9,24.6701846646589,121.749683161728,20,4,0
6736,ILA0624,1792,ILA062401,1792,0,ILA235057,月眉村,0,28,24.6671899991663,121.655919956293,20,1,3
7328,ILA0783,1785,ILA078302,1785,1,ILA234694,員山公園,0,20,24.74489,121.72256,20,1,0
7635,ILA0786,1786,ILA078601,1786,0,ILA234715,深溝村,0,14,24.72316,121.72203,20,1,0
7653,ILA0786,1786,ILA078602,1786,1,ILA234724,榮總員山分院,1,1,24.7212,121.68793,20,8,0
7662,ILA0786,1786,ILA078602,1786,1,ILA234725,內城,0,2,24.72078,121.689,20,1,0
7693,ILA0786,1786,ILA078602,1786,1,ILA234732,深溝村,0,8,24.723008,121.721919,20,1,0
7709,ILA0786,1786,ILA078602,1786,1,ILA234736,進士里,0,12,24.736022,121.74067,20,2,0
7781,ILA0788,1788,ILA078801,1788,0,ILA271120,宜蘭轉運站,1,1,24.751763,121.75972,20,2,0
7787,ILA0788,1788,ILA078801,1788,0,ILA303086,幸福轉運站,0,2,24.7519,121.75655,20,7,0
7794,ILA0788,1788,ILA078801,1788,0,ILA303088,宜蘭火車站(光復路),0,3,24.755172,121.756306,20,11,0
7802,ILA0788,1788,ILA078801,1788,0,ILA234746,宜蘭教會,0,4,24.75613,121.756,20,4,0
7806,ILA0788,1788,ILA078801,1788,0,ILA234747,延平,0,5,24.75467,121.76286,20,2,0
