,RouteUID,RouteNameZh_tw,SubRouteUID,SubRouteNameZh_tw,Direction,StopUID,StopNameZh_tw,StopBoarding,StopSequence,PositionLat,PositionLon,旅次時段,上車人數,下車人數
3,ILA0011,紅1,ILA001101,紅1,0,ILA307526,外澳,1,1,24.870935,121.839346,15,5,0
9,ILA0011,紅1,ILA001101,紅1,0,ILA302579,烏石港轉運站,0,2,24.868788,121.834961,15,8,0
24,ILA0011,紅1,ILA001101,紅1,0,ILA297125,頭城站,0,5,24.85794,121.82553,15,2,3
53,ILA0011,紅1,ILA001101,紅1,0,ILA299025,頂埔,0,9,24.84566,121.80809,15,1,0
81,ILA0011,紅1,ILA001101,紅1,0,ILA299052,白石腳,0,15,24.83572,121.78286,15,2,2
93,ILA0011,紅1,ILA001101,紅1,0,ILA297133,礁溪轉運站,0,17,24.830982,121.777881,15,3,6
105,ILA0011,紅1,ILA001101,紅1,0,ILA297137,礁溪湯圍溝,0,18,24.82877,121.773889,15,2,2
116,ILA0011,紅1,ILA001101,紅1,0,ILA297140,礁溪電池廠,0,19,24.82462,121.77081,15,10,0
128,ILA0011,紅1,ILA001101,紅1,0,ILA297142,礁溪國小,0,20,24.821,121.76945,15,1,0
139,ILA0011,紅1,ILA001101,紅1,0,ILA297144,協天廟,0,21,24.818766,121.768666,15,1,0
176,ILA0011,紅1,ILA001101,紅1,0,ILA297186,北門,0,37,24.759673,121.75302,15,1,2
182,ILA0011,紅1,ILA001101,紅1,0,ILA297190,宜蘭中山公園,0,39,24.75433,121.75378,15,1,2
197,ILA0011,紅1,ILA001102,紅1,1,ILA297195,幸福轉運站,0,2,24.7519,121.75655,15,5,0
211,ILA0011,紅1,ILA001102,紅1,1,ILA297191,宜蘭中山公園,0,4,24.75447,121.75381,15,7,0
225,ILA0011,紅1,ILA001102,紅1,1,ILA297189,第一銀行,0,5,24.75755,121.75266,15,3,0
239,ILA0011,紅1,ILA001102,紅1,1,ILA303091,蘭陽別院(念佛會),0,7,24.762247,121.754012,15,3,1
255,ILA0011,紅1,ILA001102,紅1,1,ILA297168,茭白里,0,12,24.77965,121.75975,15,1,0
262,ILA0011,紅1,ILA001102,紅1,1,ILA297163,四城,0,14,24.78716,121.76176,15,2,1
274,ILA0011,紅1,ILA001102,紅1,1,ILA297155,番割田,0,18,24.80172,121.76508,15,2,1
306,ILA0011,紅1,ILA001102,紅1,1,ILA297133,礁溪轉運站,0,26,24.830982,121.777881,15,1,4
338,ILA0012,紅2,ILA001201,紅2,0,ILA297023,宜蘭轉運站,1,1,24.751763,121.75972,15,3,0
359,ILA0012,紅2,ILA001201,紅2,0,ILA297198,蘭陽女中,0,3,24.74672,121.75498,15,2,0
372,ILA0012,紅2,ILA001201,紅2,0,ILA302584,宜蘭縣政府,0,6,24.730883,121.764751,15,2,0
385,ILA0012,紅2,ILA001201,紅2,0,ILA299038,清水橋,0,15,24.68945,121.77026,15,1,0
401,ILA0012,紅2,ILA001201,紅2,0,ILA297081,羅東夜市(中山公園),0,19,24.67661,121.76794,15,8,3
414,ILA0012,紅2,ILA001201,紅2,0,ILA297237,博愛醫院,0,20,24.67261,121.77013,15,2,4
421,ILA0012,紅2,ILA001201,紅2,0,ILA297241,聖母醫院,0,21,24.67068,121.77093,15,1,0
434,ILA0012,紅2,ILA001201,紅2,0,ILA297086,羅東轉運站,0,24,24.67818,121.775704,15,10,0
462,ILA0012,紅2,ILA001201,紅2,0,ILA297270,冬山國中,0,35,24.63255,121.79326,15,2,1
494,ILA0012,紅2,ILA001201,紅2,0,ILA290520,湧泉,0,50,24.5956,121.844518,15,1,0
502,ILA0012,紅2,ILA001201,紅2,0,ILA302879,蘇澳轉運站,0,53,24.595434,121.852642,15,2,6
520,ILA0012,紅2,ILA001202,紅2,1,ILA297211,南方澳,1,1,24.580572,121.870334,15,17,0
