"旅次日期","旅次時段.Ex..12表示為12時00分至12時59分.","票證分類..N.IC..非電子票證..IC..電子票證.","電子票證卡種","持卡身分","搭乘路線代碼","搭乘路線名稱","附屬路線唯一代碼","附屬路線中文名稱","路線方向.0.去程.1.返程.","起站.站牌代碼","起站.站牌名稱","迄站.站牌代碼","迄站.站牌名稱","載客量","資料代表日期.yyyy.MM.dd."
"2023-01-14","15","IC","EasyCard","A","ILA0122","122","ILA012202","122","1","ILA302412","東澳火車站","ILA302879","蘇澳轉運站","1","2023-01-14"
"2023-01-14","8","IC","EasyCard","C01","ILA0343","1791","ILA034302","1791","1","ILA235005","成興","ILA235032","電信局","1","2023-01-14"
"2023-01-14","20","IC","EasyCard","A","ILA0011","紅1","ILA001102","紅1","1","ILA297143","礁溪國小","ILA297128","青雲路","1","2023-01-14"
"2023-01-14","7","IC","EasyCard","C01","ILA0012","紅2","ILA001202","紅2","1","ILA297211","南方澳","ILA297238","博愛醫院","1","2023-01-14"
"2023-01-14","7","IC","EasyCard","C01","ILA0343","1791","ILA034301","1791","0","ILA234969","聖愛路","ILA116787","加油站","1","2023-01-14"
"2023-01-14","15","IC","EasyCard","A","ILA0012","紅2","ILA001202","紅2","1","ILA297243","聖母醫院","ILA297035","宜蘭轉運站","1","2023-01-14"
"2023-01-14","10","IC","iPASS","C01","ILA0624","1792","ILA062401","1792","0","ILA115944","羅東夜市(中山公園)","ILA115970","天送埤","1","2023-01-14"
"2023-01-14","17","IC","EasyCard","A","ILA0347","1796","ILA034701","1796","0","ILA307864","羅東轉運站","ILA235060","三星二站","1","2023-01-14"
"2023-01-14","12","IC","EasyCard","C09","ILA0112","112","ILA011201","112","0","ILA296014","礁溪轉運站","ILA297138","湯圍溝","3","2023-01-14"
"2023-01-14","14","IC","EasyCard","A","ILA0011","紅1","ILA001102","紅1","1","ILA297195","幸福轉運站","ILA297141","礁溪電池廠","1","2023-01-14"
"2023-01-14","17","IC","iPASS","B","ILA0624","1792","ILA062401","1792","0","ILA115944","羅東夜市(中山公園)","ILA235066","下湖路","1","2023-01-14"
"2023-01-14","8","IC","iPASS","C01","ILA0345","1794","ILA0345C2","1794C","1","ILA235240","萬貴","ILA307866","羅東轉運站","1","2023-01-14"
"2023-01-14","9","IC","EasyCard","A","ILA0343","1791","ILA034302","1791","1","ILA302879","蘇澳轉運站","ILA234996","文化國中","1","2023-01-14"
"2023-01-14","10","IC","EasyCard","C01","ILA0345","1794","ILA034501","1794","0","ILA234929","電信局","ILA235214","頂大義","2","2023-01-14"
"2023-01-14","18","IC","EasyCard","C01","ILA0344","1793","ILA034402","1793","1","ILA235070","青果合作社","ILA307866","羅東轉運站","1","2023-01-14"
"2023-01-14","12","IC","EasyCard","A","ILA0112","112","ILA011201","112","0","ILA291110","礁溪火車站","ILA297017","礁溪轉運站","1","2023-01-14"
"2023-01-14","14","IC","EasyCard","B","ILA0011","紅1","ILA001102","紅1","1","ILA297189","第一銀行","ILA297136","礁溪湯圍溝","2","2023-01-14"
"2023-01-14","18","IC","EasyCard","A","ILA0011","紅1","ILA001102","紅1","1","ILA297191","宜蘭中山公園","ILA297145","協天廟","2","2023-01-14"
"2023-01-14","7","IC","iPASS","A","ILA0795","795","ILA079501","795","0","ILA302663","車路頭","ILA302695","舊城東路","1","2023-01-14"
"2023-01-14","16","IC","EasyCard","A","ILA0786","1786","ILA078602","1786","1","ILA234731","深溝龍","ILA247488","宜蘭轉運站","1","2023-01-14"
"2023-01-14","7","IC","EasyCard","A","ILA0624","1792","ILA062401","1792","0","ILA235388","羅東火車站","ILA244469","廣興","1","2023-01-14"
"2023-01-14","7","IC","iPASS","C01","ILA0786","1786","ILA078602","1786","1","ILA234724","榮總員山分院","ILA303089","宜蘭火車站(光復路)","1","2023-01-14"
"2023-01-14","11","IC","EasyCard","C02","ILA0012","紅2","ILA001202","紅2","1","ILA297269","冬山","ILA297083","羅東夜市(中山公園)","1","2023-01-14"
"2023-01-14","11","IC","iPASS","C01","ILA0343","1791","ILA034301","1791","0","ILA234932","興盛村","ILA234959","區界","1","2023-01-14"
"2023-01-14","8","IC","EasyCard","C01","ILA0011","紅1","ILA001102","紅1","1","ILA297195","幸福轉運站","ILA297189","第一銀行","1","2023-01-14"
"2023-01-14","11","IC","EasyCard","A","ILA0343","1791","ILA034302","1791","1","ILA234996","文化國中","ILA235032","電信局","1","2023-01-14"
"2023-01-14","12","IC","iPASS","B","ILA0011","紅1","ILA001101","紅1","0","ILA297127","青雲路","ILA299052","白石腳","1","2023-01-14"
"2023-01-14","16","IC","EasyCard","A","ILA0012","紅2","ILA001201","紅2","0","ILA297198","蘭陽女中","ILA297081","羅東夜市(中山公園)","2","2023-01-14"
"2023-01-14","6","IC","iPASS","B","ILA0012","紅2","ILA001202","紅2","1","ILA297071","聖湖","ILA297074","蘇澳新站","1","2023-01-14"
"2023-01-14","10","IC","EasyCard","A","ILA0017","綠17","ILA001701","綠17","0","ILA297078","羅東轉運站","ILA301906","三星青蔥文化館","1","2023-01-14"
"2023-01-14","12","IC","EasyCard","A","ILA0888","121","ILA088801","121","0","ILA295887","蘇澳轉運站","ILA299057","羅東轉運站","1","2023-01-14"
"2023-01-14","17","IC","EasyCard","A","ILA0012","紅2","ILA001201","紅2","0","ILA297270","冬山國中","ILA297211","南方澳","1","2023-01-14"
"2023-01-14","9","IC","EasyCard","C01","ILA0343","1791","ILA034301","1791","0","ILA234938","協和北路","ILA234965","文化國中","1","2023-01-14"
"2023-01-14","17","IC","EasyCard","B","ILA0346","1795","ILA034602","1795","1","ILA235289","寒溪","ILA307866","羅東轉運站","1","2023-01-14"
"2023-01-14","21","IC","iPASS","B","ILA0345","1794","ILA0345A1","1794A","0","ILA292312","公正國小","ILA235213","湧泉水","1","2023-01-14"
"2023-01-14","13","IC","EasyCard","C01","ILA0012","紅2","ILA001202","紅2","1","ILA302583","宜蘭縣政府","ILA297197","綠九市場","1","2023-01-14"
"2023-01-14","10","IC","EasyCard","C01","ILA0028","綠28","ILA002801","綠28","0","ILA297073","軍人忠烈祠","ILA308292","江夏路","2","2023-01-14"
"2023-01-14","12","IC","EasyCard","B","ILA0345","1794","ILA0345C1","1794C","0","ILA307864","羅東轉運站","ILA235219","萬貴","1","2023-01-14"
"2023-01-14","16","IC","icash","A","ILA0012","紅2","ILA001201","紅2","0","ILA297023","宜蘭轉運站","ILA302584","宜蘭縣政府","1","2023-01-14"
"2023-01-14","6","IC","iPASS","C01","ILA0624","1792","ILA062402","1792","1","ILA235076","義德街","ILA116028","大埔","1","2023-01-14"
"2023-01-14","17","IC","iPASS","C01","ILA0784","1790","ILA078402","1790","1","ILA116565","頭城站","ILA263078","臨時站","1","2023-01-14"
"2023-01-14","13","IC","EasyCard","B","ILA0011","紅1","ILA001101","紅1","0","ILA297137","礁溪湯圍溝","ILA297144","協天廟","1","2023-01-14"
"2023-01-14","15","IC","iPASS","C01","ILA0624","1792","ILA062401","1792","0","ILA115944","羅東夜市(中山公園)","ILA115967","三星一站","1","2023-01-14"
"2023-01-14","12","IC","EasyCard","A","ILA0011","紅1","ILA001102","紅1","1","ILA297189","第一銀行","ILA297136","礁溪湯圍溝","1","2023-01-14"
"2023-01-14","8","IC","EasyCard","A","ILA0345","1794","ILA0345C2","1794C","1","ILA235253","大洲路","ILA292314","公正國小","1","2023-01-14"
"2023-01-14","11","IC","EasyCard","B","ILA0028","綠28","ILA002801","綠28","0","ILA308292","江夏路","ILA302880","蘇澳轉運站","1","2023-01-14"
"2023-01-14","9","IC","EasyCard","C02","ILA0011","紅1","ILA001102","紅1","1","ILA297191","宜蘭中山公園","ILA297126","頭城站","1","2023-01-14"
"2023-01-14","16","IC","EasyCard","A","ILA0348","1797","ILA034801","1797","0","ILA307864","羅東轉運站","ILA234959","區界","1","2023-01-14"
"2023-01-14","10","IC","EasyCard","A","ILA0011","紅1","ILA001101","紅1","0","ILA297194","幸福轉運站","ILA297194","幸福轉運站","1","2023-01-14"
"2023-01-14","6","IC","EasyCard","C01","ILA0349","1798","ILA034902","1798","1","ILA241680","東壘","ILA116030","廣興","1","2023-01-14"
"2023-01-14","11","IC","EasyCard","A","ILA0013","綠12","ILA001301","綠12","0","ILA300236","火車站前站(幾米廣場)","ILA294579","金車酒廠","2","2023-01-14"
"2023-01-14","17","IC","EasyCard","A","ILA0345","1794","ILA0345A2","1794A","1","ILA235246","湧泉水","ILA235033","羅東火車站","1","2023-01-14"
"2023-01-14","12","IC","EasyCard","A","ILA0011","紅1","ILA001101","紅1","0","ILA297125","頭城站","ILA297133","礁溪轉運站","1","2023-01-14"
"2023-01-14","16","IC","EasyCard","A","ILA0624","1792","ILA062402","1792","1","ILA244980","宜蘭監獄","ILA307866","羅東轉運站","1","2023-01-14"
"2023-01-14","20","IC","EasyCard","A","ILA0786","1786","ILA078602","1786","1","ILA234724","榮總員山分院","ILA234738","宜蘭大學","1","2023-01-14"
"2023-01-14","9","IC","EasyCard","C02","ILA0025","綠25","ILA002501","綠25","0","ILA300237","成功派出所(文化工場)","ILA297048","梅花湖","1","2023-01-14"
"2023-01-14","7","IC","EasyCard","C01","ILA0349","1798","ILA034902","1798","1","ILA235072","茶廠","ILA235100","成功派出所(文化工場)","1","2023-01-14"
"2023-01-14","14","IC","EasyCard","A","ILA0012","紅2","ILA001201","紅2","0","ILA297055","蘇澳國中","ILA302879","蘇澳轉運站","1","2023-01-14"
