StopUID,StopID,AuthorityID,StopNameZh_tw,StopNameEn,PositionLat,PositionLon,GeoHash,StopAddress,Bearing,StationID,StationGroupID,StopDescription,City,CityCode,LocationCityCode,LocationCity,LocationTown,LocationTownCode
"ILA293075","293075","021","文昌路(第一銀行)","Wenchang Rd(First Bank)",24.75765,121.752724,"wsqsfdcxu","宜蘭市中山路三段77號","S","131364","260－140",,"YilanCounty","ILA","ILA",,,
"ILA293076","293076","021","吉祥路","Jixiang Rd.",24.74332,121.79338,"wsqsg2rhr","宜蘭縣宜蘭香古結路51號對面","W","131357","263－056",,"YilanCounty","ILA","ILA",,,
"ILA293077","293077","021","壯圍大橋","Zhuangwei Bridge",24.73571,121.80965,"wsqseygpf","台電過嶺272l33電桿","W","131355","263－058",,"YilanCounty","ILA","ILA",,,
"ILA293078","293078","021","壯圍國小","Zhuangwei Elementary School",24.745,121.78915,"wsqsg2snh","宜蘭縣壯圍鄉古結路84號","W","131358","263－055",,"YilanCounty","ILA","ILA",,,
"ILA293079","293079","021","壯圍鄉公所","Zhuangwei Township office",24.7464,121.78584,"wsqsg2cwp","宜蘭縣壯圍鄉壯五路266號(需再確認,壯圍鄉公所地址為壯志路)","N","131359","263－054",,"YilanCounty","ILA","ILA",,,
"ILA293080","293080","021","宜蘭市公所","Yilan Township Office",24.751961,121.753126,"wsqsf9cyt","宜蘭縣宜蘭市中山路二段432號","S","131225","260－119",,"YilanCounty","ILA","ILA",,,
"ILA293081","293081","021","帝爺廟","Diye Temple",24.74937,121.77779,"wsqsg17zs","宜蘭縣宜蘭市東港路6-13號旁","W","131361","260－143",,"YilanCounty","ILA","ILA",,,
"ILA293082","293082","021","陽大新民院區","Yang-Ming University Hospital(Xinmin)",24.757427,121.754071,"wsqsfdfw7","宜蘭縣宜蘭市新民路143號","W","131253","260－115",,"YilanCounty","ILA","ILA",,,
"ILA293083","293083","021","黎明村","Liming Village",24.75033,121.77319,"wsqsg18t0","宜蘭縣宜蘭市東港路24號","W","131362","260－142",,"YilanCounty","ILA","ILA",,,
"ILA293084","293084","021","中央新南路口","Zhongyang Rd./ Xinnan Rd. Intersection",24.724059,121.787934,"wsqsekgk0","宜蘭縣壯圍鄉新南路33-2號","E","131395","263－066",,"YilanCounty","ILA","ILA",,,
"ILA293089","293089","021","東津路口","Dongjin Rd.",24.7248,121.77553,"wsqsej40r","宜蘭縣壯圍鄉東津路64號對面(壯圍路燈30001)","E","131393","263－061",,"YilanCounty","ILA","ILA",,,
"ILA293090","293090","021","南庵寺","Nanan Temple",24.728801,121.820135,"wsqssjdxw","宜蘭縣壯圍鄉壯濱路1段208號","N","131399","263－065",,"YilanCounty","ILA","ILA",,,
"ILA293091","293091","021","美福鎮安宮","MeifuZhenanTemple",24.724673,121.780284,"wsqsehvxw","宜蘭縣壯圍鄉美福路50號","W","131394","263－062",,"YilanCounty","ILA","ILA",,,
"ILA293092","293092","021","新南休閒農業區","Xinnan Leisure Farm Area",24.71945,121.80729,"wsqseu135","宜蘭縣壯圍鄉新南路75之3號對面","N","131397","263－038",,"YilanCounty","ILA","ILA",,,
"ILA293093","293093","021","新南國小","Xinnan Elementary School",24.72293,121.79945,"wsqsesets","宜蘭縣壯圍鄉南北40路路口","E","131396","263－063",,"YilanCounty","ILA","ILA",,,
"ILA293095","293095","021","廓後","kuohou",24.72705,121.82116,"wsqssj7mw","宜蘭縣壯圍鄉壯濱路1段122號","W","131398","263－064",,"YilanCounty","ILA","ILA",,,
"ILA293096","293096","021","中央新南路口","Zhongyang Rd./ Xinnan Rd. Intersection",24.72403,121.78775,"wsqsekg5u","宜蘭縣壯圍鄉美福路27號","W","131404","263－066",,"YilanCounty","ILA","ILA",,,
"ILA293099","293099","021","東津路口","Dongjin Rd.",24.72486,121.77588,"wsqsej42x","宜蘭縣壯圍鄉東津路64號","W","131405","263－061",,"YilanCounty","ILA","ILA",,,
"ILA293101","293101","021","新南休閒農業區","Xinnan Leisure Farm Area",24.71926,121.80712,"wsqseu10p","宜蘭縣壯圍鄉新南路75之3號","S","131402","263－038",,"YilanCounty","ILA","ILA",,,
"ILA293102","293102","021","新南國小","Xinnan Elementary School",24.72285,121.799437,"wsqseseth","宜蘭縣壯圍鄉新南路6-1號","W","131403","263－063",,"YilanCounty","ILA","ILA",,,
"ILA293104","293104","021","廓後","kuohou",24.72682,121.82101,"wsqssj7k5","宜蘭縣壯濱路一段122號對面","S","131401","263－064",,"YilanCounty","ILA","ILA",,,
"ILA293105","293105","021","大眾北路","DazhongN.Rd.",24.700567,121.822154,"wsqss0s5j","宜蘭縣五結鄉大眾北路7-18號對面","N","131215","268－125",,"YilanCounty","ILA","ILA",,,
"ILA293106","293106","021","靈惠廟","Linghui Temple",24.706096,121.78855,"wsqse3eeq","宜蘭縣五結鄉三吉路102-8號【宜25-2鄉道上】","E","131210","268－145",,"YilanCounty","ILA","ILA",,,
"ILA293107","293107","021","灶君廟","Zaojun Temple",24.702416,121.786782,"wsqse2fqj","宜蘭縣五結鄉三結路14-6號","E","131209","268－132",,"YilanCounty","ILA","ILA",,,
"ILA293108","293108","021","頂三結","Ding-sanjie",24.703321,121.780404,"wsqse1jg3","宜蘭縣五結鄉三結路61之6號","E","131208","268－133",,"YilanCounty","ILA","ILA",,,
"ILA293109","293109","021","二結火車站","Erjie Train Station",24.7048196,121.7737747,"wsqse12un","宜蘭縣五結鄉學進路32-5號對面","E","131207","268－134",,"YilanCounty","ILA","ILA",,,
"ILA293110","293110","021","二結","Erjie",24.70518,121.76773,"wsqsdckw1","宜蘭縣五結鄉西河路7號","S","131205","268－144",,"YilanCounty","ILA","ILA",,,
"ILA293111","293111","021","博愛聖母醫院","Poh-Ai Hospital and Saint Mary's Hospital",24.6718534,121.772462,"wsqs7525b","宜蘭縣羅東鎮南昌街83號對面【候車亭】","W","131198","265－069",,"YilanCounty","ILA","ILA",,,
"ILA293112","293112","021","五結國小","Wujie Elementary School",24.687081,121.797279,"wsqs7w4hd","宜蘭縣五結鄉中興路一段7號","W","131195","268－141",,"YilanCounty","ILA","ILA",,,
"ILA293113","293113","021","協和二號橋","Xiehe Bridge No.2",24.681688,121.816604,"wsqskj0jk","宜蘭縣五結鄉孝威南路23之30號","S","131193","268－143",,"YilanCounty","ILA","ILA",,,
"ILA293114","293114","021","公園路","Park Rd.",24.684184,121.808344,"wsqs7vd5u","宜蘭縣五結鄉公園路及孝威路口【位於公園路上】","E","131192","268－117",,"YilanCounty","ILA","ILA",,,
"ILA293115","293115","021","大埔橋","Dapu Bridge",24.679439,121.812491,"wsqs7uv0h","宜蘭縣五結鄉公園路鄰近【冬山河後門】","N","131191","268－063",,"YilanCounty","ILA","ILA",,,
"ILA293116","293116","021","國立傳統藝術中心","National Center for Tranditional Arts",24.686277,121.8242593,"wsqskjvxy","宜蘭縣五結鄉季新村五濱路二段201號","S","131190","266－073",,"YilanCounty","ILA","ILA",,,
"ILA293117","293117","021","宜蘭市公所","Yilan Township Office",24.7519586,121.7530322,"wsqsf9cye","宜蘭縣宜蘭市中山路二段432號","S","131225","260－119",,"YilanCounty","ILA","ILA",,,
"ILA293118","293118","021","宜蘭市公所","Yilan Township Office",24.752008,121.75305,"wsqsf9cyg","宜蘭縣宜蘭市中山路二段432號對面","N","131249","260－119",,"YilanCounty","ILA","ILA",,,
"ILA293120","293120","021","縣政西路","Xianzheng W. Rd.",24.729196,121.7591041,"wsqsdty60","縣政西路","E","131242","260－127",,"YilanCounty","ILA","ILA",,,
"ILA293121","293121","021","城仔","Chengzai",24.726828,121.767263,"wsqsdvkhn","宜蘭縣宜蘭市中山路一段228號","N","131236","260－130",,"YilanCounty","ILA","ILA",,,
"ILA293122","293122","021","宜蘭縣政府","Yilan County Hall",24.731227,121.764869,"wsqsdy4mz","宜蘭縣宜蘭市中山路一段370號","W","131237","260－131",,"YilanCounty","ILA","ILA",,,
"ILA293124","293124","021","二龍社區活動中心","Erlong Community Activity Center",24.8081589,121.7850825,"wsqt5k1nn","宜蘭縣礁溪鄉淇武蘭路110號","W","131295","262－103",,"YilanCounty","ILA","ILA",,,
"ILA293126","293126","021","宜蘭轉運站2","Yilan Transfer Station 2",24.751302,121.75836,"wsqsf9vdz","宜蘭縣宜蘭市校舍路190號
(宜蘭轉運站候車亭)","N","131248","260－055",,"YilanCounty","ILA","ILA",,,
"ILA293127","293127","021","宜蘭轉運站1","Yilan Transfer Station 1",24.751765,121.759537,"wsqsf9yt6","宜蘭縣宜蘭市校舍路190號","W","130073","260－055",,"YilanCounty","ILA","ILA",,,
"ILA293129","293129","021","陽大新民院區","Yang-Ming University Hospital(Xinmin)",24.757465,121.754417,"wsqsfdfye","宜蘭縣宜蘭市新民路152號","W","131253","260－115",,"YilanCounty","ILA","ILA",,,
"ILA293130","293130","021","中華國中","Chung-Hwa Junior High School",24.7515,121.7677,"wsqsfcuec","宜蘭市東港路15-3號對面","W","131363","260－141",,"YilanCounty","ILA","ILA",,,
"ILA293148","293148","021","仁愛醫院","Jen-Ai Hospital",24.74887,121.75422,"wsqsf96sw","宜蘭縣宜蘭市中山路2段288號","S","131392","260－072",,"YilanCounty","ILA","ILA",,,
"ILA293149","293149","021","南庵寺","Nanan Temple",24.728771,121.819947,"wsqssjdxd","宜蘭縣壯圍鄉壯濱路1段208號","S","131400","263－065",,"YilanCounty","ILA","ILA",,,
"ILA293396","293396","021","港尾橋","Gangwei Bridge",24.802188,121.779806,"wsqt55j75","宜蘭縣壯圍鄉港尾橋","E","131584","262－042",,"YilanCounty","ILA","ILA",,,
"ILA293397","293397","021","港尾橋","Gangwei Bridge",24.80225,121.7799,"wsqt55j7t","宜蘭縣礁溪鄉宜6鄉道","W","131585","262－042",,"YilanCounty","ILA","ILA",,,
"ILA293532","293532","021","礁溪湯圍溝","Jiaoxi Hot Spring",24.82839,121.77333,"wsqt5pbeu","礁溪鄉礁溪路五段150號","E","131671","262－023",,"YilanCounty","ILA","ILA",,,
"ILA293533","293533","021","礁溪湯圍溝","Jiaoxi Hot Spring",24.82877,121.773889,"wsqt5pcn1","礁溪鄉礁溪路五段160號對面","S","131672","262－023",,"YilanCounty","ILA","ILA",,,
"ILA293621","293621","021","龍之園","Longzhiyuan",24.668229,121.818981,"wsqsk49yg","宜蘭縣五結鄉親河路一段","E","131737","268－070",,"YilanCounty","ILA","ILA",,,
"ILA293622","293622","021","龍之園","Longzhiyuan",24.6683,121.818981,"wsqsk49z7","宜蘭縣五結鄉親河路一段","W","131738","268－070",,"YilanCounty","ILA","ILA",,,
"ILA293925","293925","021","佛光大學","Fo Guang University",24.817093,121.730833,"wsqt4jcdj","宜蘭縣礁溪鄉林美村林尾路160號","W","131678","262－048",,"YilanCounty","ILA","ILA",,,
"ILA294086","294086","021","榮源國中","Rong Yuan Junior High School",24.718746,121.687307,"wsqs95cvp","宜蘭縣員山鄉內城路545號","E","132059","264－006",,"YilanCounty","ILA","ILA",,,
"ILA294090","294090","021","國華國中","Guo Hua Junior High School",24.676669,121.76372,"wsqs6u38h","宜蘭縣羅東鎮國華街101號","W","132062","265－077",,"YilanCounty","ILA","ILA",,,
"ILA294091","294091","021","國華國中","Guo Hua Junior High School",24.677567,121.761333,"wsqs6srvh","宜蘭縣羅東鎮純精路2段128號","S","132063","265－077",,"YilanCounty","ILA","ILA",,,
"ILA294093","294093","021","羅東高中","Luo Dong Senior high school",24.680625,121.761883,"wsqs6ubr1","宜蘭縣羅東鎮公正路324號","W","131457","265－078",,"YilanCounty","ILA","ILA",,,
"ILA294138","294138","021","烏石港站","Wush Harbor",24.86938,121.8352,"wsqtkrmdt","宜蘭縣頭城鎮港口路15號之30","S","132102","261－045",,"YilanCounty","ILA","ILA",,,
"ILA294562","294562","021","塭底路2","Wendi Rd. 2",24.814681,121.81213,"wsqt5vkgu","宜蘭縣礁溪鄉塭底路","E","132314","262－059",,"YilanCounty","ILA","ILA",,,
"ILA294563","294563","021","塭底路2","Wendi Rd. 2",24.814813,121.812441,"wsqt5vmhg","宜蘭縣礁溪鄉塭底路","W","132315","262－059",,"YilanCounty","ILA","ILA",,,
"ILA294564","294564","021","土圍路","Tuwei Rd",24.795435,121.794796,"wsqt59b7b","宜蘭縣壯圍鄉土圍路","E","132317","263－036",,"YilanCounty","ILA","ILA",,,
"ILA294565","294565","021","土圍路","Tuwei Rd",24.795616,121.794744,"wsqt59bhz","宜蘭縣壯圍鄉土圍路81號","W","132318","263－036",,"YilanCounty","ILA","ILA",,,
"ILA294567","294567","021","新月廣場(五穀廟)","Luna Plaza",24.75375,121.751773,"wsqsfd2cj","宜蘭縣宜蘭市神農路二段170號","N","131250","260－118",,"YilanCounty","ILA","ILA",,,
"ILA294568","294568","021","南橋路","Nanqiao Rd",24.73091,121.740721,"wsqsdq0gu","宜蘭縣宜蘭市南橋路","S","132320","260－028",,"YilanCounty","ILA","ILA",,,
"ILA294569","294569","021","南橋路","Nanqiao Rd",24.730764,121.740983,"wsqsdq154","宜蘭縣宜蘭市南橋路36-23號","N","132321","260－028",,"YilanCounty","ILA","ILA",,,
"ILA294570","294570","021","七賢國小","Ci Sian Elementary School",24.719368,121.742902,"wsqsdk42z","宜蘭縣員山鄉七賢村浮洲路30號","S","132322","264－062",,"YilanCounty","ILA","ILA",,,
"ILA294571","294571","021","七賢國小","Ci Sian Elementary School",24.719583,121.743075,"wsqsdk4d5","宜蘭縣員山鄉浮洲路30號","N","132323","264－062",,"YilanCounty","ILA","ILA",,,
"ILA294572","294572","021","石頭厝","Yuanshan Township",24.71245,121.73165,"wsqsd4f23","宜蘭縣員山鄉石頭厝路","W","132324","264－074",,"YilanCounty","ILA","ILA",,,
"ILA294573","294573","021","石頭厝","Yuanshan Township",24.712522,121.731454,"wsqsd4f0u","宜蘭縣員山鄉石頭厝路73號","E","132325","264－074",,"YilanCounty","ILA","ILA",,,
